Science_Name,Name,Image,Red_list,Characteristic,Habitat
Abies delavayi,Vân sam Fansipan,creature/plant/Abies_delavayi.jpg,1,"Cây gỗ to, cao tới 30 m, vỏ nâu xám; cành nhẵn hay có lông màu vàng nâu, vết lá rụng ít lồi. Chồi đông hình trứng tới hình nón, màu đỏ nâu xanh, có nhựa trong, dài khoảng 8 mm được vẩy bao bọc. Lá mọc xoắn ốc, dày, dựng thẳng, hình dải, dài 1 - 3 cm, rộng khoảng 1 mm, đỉnh hơi lõm, mặt trên màu xanh sẫm, mặt dưới có 2 dải lỗ khí màu trắng mốc; mép hơi có răng cưa và cuộn xuống dưới. Nón cái gần không cuống, từ hình trứng đến hình trụ ngắn, đầu tròn, dài khoảng 8 cm, đường kính 4 cm, khi chín màu vàng nâu mang nhiều vảy hạt; vảy hạt ở phần giữa nón hình tam giác ngược hay hình quạt, dài 1,6 - 1,7 cm, rộng 2,3 - 2,4 cm, tròn ở đầu, mép hơi gợn sóng; lá vảy áp sát vào mặt ngoài ( abaxial) của vẩy hạt, cao chỉ bằng nửa chiều cao của vảy, hình tim có đuôi, đầu lõm với một mũi nhọn dài 1 cm. Hạt 2 ở mỗi vảy, gần tam giác, dài 1,2 - 1,6 cm kể cả cánh; cánh màu nâu đỏ hoặc nâu đen, gốc hình nêm, đầu cụt.","Nón xuất hiện tháng 4 - 5, hạt chín vào tháng 12. Gặp rải rác ở độ cao 2600 m, trong rừng cây lá rộng thường xanh mây mù, có khi sót lại sau lửa rừng, mọc xen với loài Trúc lùn."
Afzelia xylocarpa,Gõ đỏ,creature/plant/Afzelia_xylocarpa.jpg,1,"Cây gỗ lớn, rụng lá, cao 25-30 m, đường kính thân 0,8-1 m. Vỏ màu nâu xám, sần sùi, trên mặt có nhiều lỗ màu nâu. Cành non nhẵn. Lá kép lông chim một lần chẵn, với 3-5 đôi lá chét; lá chét hình trái xoan, dài 5-6 cm, rộng 4-5 cm, chóp lá nhọn, gốc tù, nhẵn ở cả hai mặt. Cụm hoa hình chuỳ ở đỉnh cành, dài 5-15 cm. Đài hình ống, cao 10-12 mm, đỉnh xẻ 5 thuỳ. Tràng màu hồng, dài 5-12 mm, mặt trong có lông. Nhị 7, hơi hợp ở gốc. Bầu cao 7 mm, có lông. Quả đậu dài 15-20 cm, rộng 6-9 cm, dày 2-3 cm, khi quả già hoá gỗ màu nâu thẫm, có 5-8 hạt. Hạt hình trứng, dài 25-30 mm, dày 18-24 mm, mầu nâu thẫm hay đen, ở gốc có áo hạt cứng, màu da cam.","Cây rụng lá vào khoảng tháng 12, đến tháng 1-2 (năm sau) ra lá non, có hoa khoảng tháng 3-4, quả chín tháng 10-11. Tái sinh tốt bằng hạt. Cây gặp ở rừng ẩm nhiệt đới, ở độ cao 300-700 m (có khi tới 1000 m), nơi đất bằng phẳng hay trên những sườn "
Aquilaria crassna,Trầm hương,creature/plant/Aquilaria_crassna.jpg,1,"Một loại gỗ lõi có nhựa, dùng lấy hương và trầm. Chất nhựa tiết ra từ cây để đáp lại việc nhiễm một loài mốc ký sinh. Cây gỗ to, thường xanh, cao đến 15 - 20 m, có khi tới 30 m, đường kính 40 - 50 cm hay hơn. Vỏ màu nâu xám, nứt dọc, dễ bóc. Cành có lông, có màu nâu sẫm với các lỗ khí trên phần già. Chồi ngọn có lông màu vàng nhạt. Tán lá thưa. Lá hình trứng thuôn, bầu dục hay hình giáo dài, mặt trên màu xanh bóng, mặt dưới màu nhạt hơn và có lông mịn, chóp lá có mũi nhọn, gốc lá nhọn hoặc tù, tận cùng thành mép dày và hơi cuộn lại, cuống lá dài 4 - 5 mm, có lông nhẹ. Hoa nhỏ, mọc thành cụm hình tán ở nách lá gần đầu cành non, màu vàng nhạt; cuống hoa dài 0,6 - 1 cm, có lông mỏng. Đài hình chuông, nông, 5 thùy, có lông. Phần phụ cánh hoa dạng trứng, dài 1 mm, có lông rậm, và đính ở họng đế hoa. Quả nang hình trứng ngược, dài 4 cm, rộng 3 cm, khi khô nứt làm hai mảnh, cứng, có lông mềm màu vàng xám, mang đài tồn tại. Cuống quả dài 1 cm. ","Ra hoa tháng 2 - 4, quả chín tháng 5 - 7. Khả năng tái sinh tốt nơi sáng, nhưng cây mạ ít gặp dưới tán rừng rậm, thường chỉ gặp nơi có ánh sáng trong rừng hoặc ven rừng. Cây thường mọc rải rác trong rừng kín thường xanh, ở độ cao 300 - 1000 m. trên sườn dốc và thoát nước. Ưa đất feralit điển hình hay feralit núi phát triển trên đá kết, đá phiến, hoặc đá granit, tầng đất trung bình hoặc mỏng, hơi ẩm, độ pH biến động từ 4 - 6."
Bauhinia variegata,Cây hoa ban,creature/plant/Bauhinia_variegata.jpg,1,"Cây gỗ lớn cao 6 - 15m; nhánh non có lông mịn. Lá rụng theo mùa, phiến xanh nhạt, mặt trên không lông, mặt dưới có ít lông. Chùm hoa dài đến 20 - 30cm, hơi thòng; hoa to dài có 5 răng, có lông cánh hoa trắng hay đỏ hơi tím có sọc đậm, dài 5 cm; nhị sinh sản 3 - 4, nhị lép cao 1cm. Quả dẹp, dài 15cm, rộng 2, 5cm; hạt 9 - 10, to 10 - 15mm.","Được trồng nhiều ở các xứ nhiệt đới, thường gặp trong các khu rừng rụng lá từ độ cao 500m tới 1500m, từ Sơn La, Lai Châu đến Nghệ An. Có trồng ở các thành phố Hà Nội, Hồ chí Minh."
Calocedrus macrolepis,Bách xanh,creature/plant/Calocedrus_macrolepis.jpg,1,"Cây gỗ thường xanh, thân thẳng, cao 20 - 25 m, đường kính thân 60 - 80 cm, phân cành ngang, tán lá hình tháp rộng hoặc hình dù. Vỏ màu nâu đen, nứt dọc. Lá hình vẩy xếp thành 4 dãy, hai lá vẩy trong to hơn hai lá vẩy bên; vẩy trong dài 5 mm, lá vẩy bên dài 2 mm, mũi tù. Nhìn chung lá gần giống lá Pơ mu (Fokienia hodginsii) nhưng có hai điểm khác là: nhỏ hơn và hai lá vảy trong to hơn hai lá vẩy bên. Nón đơn tính cùng gốc; nón đực đơn độc mọc ở tận cùng cành; nón cái hình bầu dục, dài 12 - 18 mm, rộng 6 mm, gồm 6 vẩy nứt thành 3 mảnh với 2 mảnh bên to và một mảnh giữa nhỏ hơn mang 2 hạt (mỗi vẩy hữu thụ có 1 hạt). Hạt hình trứng dài, có hai cánh không bằng nhau.","Nón xuất hiện tháng 3 - 4, chín vào tháng 9 - 10. Tái sinh bằng hạt tốt, đặc biệt nơi có nhiều ánh sáng. Loài mọc trên núi đất hoặc núi đá vôi, thường ở đường đỉnh hoặc gần đỉnh, trên núi đất loài mọc trong rừng cây lá rộng thường xanh mưa mùa nhiệt đới, ở độ cao từ 900 tới 1800 m"
Centella asiatica,Cây cỏ mã tiền,creature/plant/Centella_asiatica.jpg,1,"Là một loại cây thân thảo nhỏ, thường mọc rải rác và có thân cây chạy ngang trên mặt đất. Đặc điểm nổi bật của cây là lá hình tròn có đường viền răng cưa, thường mọc tập trung ở đỉnh thân cây. Cây có thể có màu xanh tươi hoặc có thể có màu đỏ nhạt, tùy thuộc vào đặc điểm cụ thể của từng giống cây. Ngoài ra, cây cỏ mã tiền còn có hoa màu trắng hoặc hồng nhỏ, mọc ở phía dưới lá.","Cây cỏ mã tiền thích hợp với môi trường sống ẩm ướt và nơi có ánh sáng đầy đủ. Nó thường được tìm thấy ở các khu vực ruộng đất ẩm, ven sông, ao rừng, và các vùng đất ẩm mát. Cây thường mọc tự nhiên trong các môi trường có đất giàu dinh dưỡng và thoát nước tốt. Sự phổ biến của cây cỏ mã tiền chủ yếu xuất phát từ khả năng thích ứng với nhiều loại đất và môi trường khác nhau, làm cho nó trở thành một loại cây thân thảo phổ biến và dễ tìm thấy trong cả nông thôn và đô thị."
Chukrasia tabularis,Lát hoa,creature/plant/Chukrasia_tabularis.jpg,1,"Loài lát hoa có kích thước thuộc loại cây gỗ trung bình, cao tới 25m, thân cây thẳng, gốc có bạnh vè lớn, cành rậm, vỏ thân màu nâu nhạt rạn nứt dọc. Cành non có màu đỏ nâu với lớp lông mịn. Lá kép lông chim một lần chẵn mọc cách, lá có kích thước 30–50 cm. Cuống chính (từ đầu cuống đến lá chét đầu tiên) của lá hình trụ, dài 4,5–7 cm. Mỗi lá chính có 10 - 16 lá chét, cuống lá chét dài từ 4-8 mm, lá chét hình trứng hoặc mũi mác thuôn dài (giai đoạn cây non đôi khi là xẻ thùy), đầu lá chét nhọn đôi khi là có mũi nhọn, đuôi lá chét thường lệch, kích thước lá chét dài 7–12 cm và rộng từ 3–5 cm, hệ gân của lá chét là gân lông chim có từ 10-15 cặp gân phụ, mặt trên lá chét nhẵn, mặt dưới không hoặc phủ nhẹ lớp lông mịn màu nâu nhạt. Hoa tự hình chùy mọc ở đầu cành. Hoa màu trắng kem, có mùi thơm nhẹ, kích thước hoa 1,2 - 1,5 cm. Quả hình cầu hoặc bầu dục màu xám vàng đến nâu, kích thước từ 3,5–4 cm. Mùa hoa từ tháng 4 đến thánh 5, mùa quả từ tháng 7 đến tháng 1 năm sau.","Cây ưa sáng sống lâu, giai đoạn non ưa bóng, sinh trưởng nhanh tới 5 tuổi, từ tuổi thứ 6 trở đi sinh trưởng trung bình tới chậm. Phân bổ tự nhiên ở rừng hỗn giao lá rộng thường xanh hoặc rụng lá, cũng thường rải rác ở thảm thực vật thưa thớt. Độ cao phân bổ từ 300 – 1600 m núi đất tới núi đá vôi."
Cupressus torulosa,Hoàn đàn,creature/plant/Cupressus_torulosa.jpg,1,"Cây gỗ nhỡ, thường xanh, cao 15 - 20 m, đường kính thân 40 - 60 cm, vỏ màu nâu, nứt dọc. Cành non hình trụ hay bốn góc, chia nhánh trên cùng một mặt phẳng, tán lá hình tháp. Lá hình vẩy, xếp thành 4 dãy xít nhau trên cành, tù ở đỉnh, mặt lưng có tuyến nhựa dài tạo thành rãnh hơi rõ. Nón đơn tính cùng gốc; nón đực hình trụ thuôn dài 5 - 6 mm mang 8 - 12 cặp nhị; nón cái gần hình cầu hoặc hình trứng, dài 1,5 - 2 cm, gồm 6 - 8 hoặc hãn hữu tới 14 vảy hình khiên, rốn vẩy lồi hoặc phẳng có mũi nhọn ít nhiều uốn cong. Mỗi vẩy mang 6 - 8 hạt; hạt gần hình cầu, dẹt, đôi khi hình tam giác, thường rộng và có mũi nhọn ở đỉnh, có tuyến nhựa hơi rõ ở mặt trong và một cánh mỏng bao quanh.","Nón xuất hiên tháng 4, hạt chín vào tháng 7 - 10. Cây sinh trưởng chậm, khả năng tái sinh từ hạt kém. Mọc rải rác trong rừng cây lá rộng thường xanh trên núi đá vôi, ở độ cao 300 - 700 m."
Cymbopogon spp.,Cây cỏ tranh,creature/plant/Cymbopogon_spp..jpg,0,"Là một nhóm cây cỏ thuộc họ Hòa thảo (Poaceae), có nhiều loại khác nhau, trong đó Cymbopogon citratus, hay còn gọi là cỏ tranh xanh, là một trong những giống phổ biến được sử dụng trong ẩm thực và y học. Đặc điểm của cây cỏ tranh bao gồm lá hẹp, mọc tụ tập thành các cụm lá mảnh, màu xanh đậm, có hình dáng và mùi thơm đặc trưng. Các loại cây cỏ tranh thường có cảm giác mạnh mẽ và thơm ngon, đặc biệt là khi lá được cắt hoặc xát.","Cây cỏ tranh thích hợp với môi trường sống nhiệt đới và cận nhiệt đới, nơi có ánh sáng đầy đủ và đất thoát nước tốt. Chúng thường được trồng ở vùng đất ẩm ướt, nhưng cũng có khả năng chịu đựng khô hạn một cách tốt. Cây thường được tìm thấy trong các vườn, khu vực nông nghiệp và thậm chí là trong các vườn cây cảnh. Cỏ tranh xanh (Cymbopogon citratus) đặc biệt phổ biến trong nấu ăn và làm thực phẩm vì mùi thơm và hương vị độc đáo của nó."
Dalbergia oliveri,Cẩm lai,creature/plant/Dalbergia_oliveri.jpg,1,"Cây gỗ thường xanh, có tán hình ô, cao 20 - 30m, đường kính thân 0,5 - 0,6m. Vỏ thân màu xám, có đốm trắng hay vàng, không nứt nẻ; phần trong của vỏ có mùi sắn dây. Lá kép lông chim một lần, lẻ, dài 15 - 25cm, có 11 - 15 lá chét. Lá chét hình ngọn giáo - thuôn, dài 4 - 8cm, rộng 1,5 - 3cm, chóp lá tù đến nhọn, gốc lá tù hay tròn, hai mặt nhẵn, gân bên 9 - 12 đôi. Cụm hoa hình chuỳ ở đỉnh cành hay ở nách lá phía đỉnh cành, dài 10 - 15cm. Lá bắc sớm rụng. Hoa nhỏ, màu lam nhạt, dài 12 mm. Đài có ống dài 4 - 5 mm, nhẵn hay có lông, 5 răng. Tràng 5, cánh cờ hình tròn, lõm sâu dài và rộng 7 mm. Nhị 10, hàn liền thành 2 bó. Bầu 2 - 3 ô, có lông. Quả đậu dài 10 - 12cm, rộng 2 - 2,5cm, dẹt, hơi thắt eo ở nơi có hạt. hạt thường 1, đôi khi là 2 trong mỗi quả, hình thận, dẹt, dài 8 - 10 mm, rộng 5 - 6 mm, màu đen nhạt.","Mùa hoa tháng 12 - 1 (năm sau), quả chín tháng 2 - 4 (năm sau), tái sinh bằng hạt, cây sinh trưởng chậm. Cây gặp rải rác trong rừng, nơi ẩm, đất bằng phẳng hoặc có độ dốc nhỏ, tầng đất dày, thoát nước, ở độ cao đến 800 - 900 m."
Dalbergia tonkinensis,Sưa,creature/plant/Dalbergia_tonkinensis.jpg,1,"Là cây gỗ nhỡ, rụng lá theo mùa, cao từ 6-12m (cũng có thể cao tới 15m), sinh trưởng trung bình. Thân cây dạng hợp trục, dáng phân tán. Vỏ thân cây màu vàng nâu hay xám, nứt dọc. Cành non màu xanh, có lông mịn thưa. Lá mọc cách, cấu tạo lá dạng kép lông chim lẻ, mỗi là kép có từ 9-17 lá chét đính so-le trên cuống chính. Lá chét hình xoan thuôn, đầu nhọn hoặc có mũi ngọn, đuôi tròn, mặt dưới phiến lá thường có màu tái trắng. Kích thước lá chét dài từ 6–9 cm, rộng từ 3–5 cm, lá ché đính ở đầu cuống kép thường có kích thước lớn hơn các lá còn lại. Cuống chính và các cuống lá chét không lông, phiên lá chét không lông. Có lá kèm nhỏ không lông, sớm rụng. Hoa mọc ra từ nách lá, thường xuất hiện trước khi lá mọc đầy đủ. Hoa tự tán gồm nhiều bông màu trắng, có kích thước 7-9mm, mùi thơm nhẹ. Mùa hoa vào tháng 2-3. Quả dạng đậu hình trứng thuôn dài, dài 5–7,5 cm, rộng khoảng 2-2,5 cm. Quả chứa 1-2 hạt, mỗi hạt có đường kính khoảng 8-9mm, hình thận dẹp. Quả khi chín không tự nứt.","Là cây ưa sáng, ưa đất sâu, dày, độ ẩm cao. Cây tái sinh bằng hạt và bằng chồi ở nơi có độ che phủ dưới 50%. Cây mọc rải rác trong rừng, trên đất có tầng dày, giàu chất dinh dưỡng, ở độ cao từ thấp tới 600 - 700m, đôi khi tới 1.000m.. Trong tự nhiên tìm thấy trong rừng mưa nhiệt đới và rừng mưa nhiệt đới gió mùa."
Diospyros mun,Mun,creature/plant/Diospyros_mun.jpg,1,"Cây gỗ trung bình, rụng lá, cao 7–18 m, đường kính đến 0,3 m hay hơn, cành nhánh nhẵn, tán rậm. Vỏ ngoài đen, nứt dọc nông. Lá đơn mềm, mọc cách, hình trứng nhọn, gân giữa và gân bên nổi rõ, dài 5,5-6,5 cm; rộng 2-2,2 cm, khi khô có màu đen. Hoa nhỏ, màu vàng đơn tính; hoa đực mọc thành xim 3-5 hoa ở nách lá, hoa cái mọc đơn độc. Hoa đực có đài hợp, hình cốc ngắn, ở phần trên chia thành 4 thùy, màu lục. Tràng hợp thành ống, dài 5 mm, ở trên chia thành 4 thùy màu vàng. Nhị 8; bao phấn hình mũi dùi, dài khoảng 3 mm. Quả nhỏ, đường kính 1,5–2 cm nhẵn, đen, vỏ dày, mang đài tồn tại xẻ 4 thuỳ.","Mun là loài cây ưa sáng, mọc chậm, sống lâu. Mùa hoa mun thường vào tháng 7. Mun tái sinh bằng hạt và chồi; nhất là chồi rễ ở gần gốc.Cây mun mọc rải rác hay thành từng đám trong trảng cây bụi cao rậm, chịu hạn trên đất nghèo ở gần biển, ở nơi có độ cao dưới 800 m"
Erythrophleum fordii,Lim xanh,creature/plant/Erythrophleum_fordii.jpg,1,"Là cây gỗ lớn, cao từ 25m đến trên 30m. Thân thẳng, tròn, gốc có bạnh nhỏ, vỏ màu nâu có nhiều nốt sần màu nâu nhạt sau bong mảng hoặc vẩy lớn, lớp vỏ trong màu nâu đỏ. Nếu cây mọc lẻ thường phân cành thấp, cành non màu xanh lục. Lá kép lông chim 2 lần mọc cách, có 3-4 đôi cuống cấp 2. Hoa tự hình chùm kép. Hoa lưỡng tính gần đều. Quả đậu hình trái xoan thuôn. Hạt dẹt màu nâu đen, xếp lợp lên nhau, vỏ hạt cứng, dây rốn dày và to gần bằng hạt.","Cây mọc chậm. Là cây ưa sáng nhưng lại chịu bóng khi còn nhỏ. Phân bố trên đất sét hoặc sét pha sâu dày, khí hậu nhiệt đới mưa mùa. Có khả năng tái sinh hạt và chồi tốt."
Ficus benghalensis,Cây đa,creature/plant/Ficus_benghalensis.jpg,1,"Cây đa (Ficus benghalensis), còn được biết đến với tên gọi là cây đa bằng, là một loại cây lớn với đặc điểm nổi bật là hệ thống rễ khỏe mạnh và tán lá rộng lớn. Cây thường phát triển với thân cây mạnh mẽ và có thể đạt đến kích thước lớn, tạo nên hình dáng ấn tượng và độc đáo. Lá của cây đa có hình dạng hình trái tim, có màu xanh đậm và có thể có các góc cạnh hoặc mép răng cưa.","Cây đa thích ứng với nhiều loại môi trường sống, nhưng thường được tìm thấy ở vùng nhiệt đới và cận nhiệt đới. Nó thích hợp cho các khu vực rừng mưa và vùng đất ẩm ướt, nhưng cũng có thể sống trong môi trường đất khô và có khả năng chịu hạn chế về nước. Cây đa cũng thường xuất hiện ở các khu vực đô thị và làm cây cảnh do sự hùng vĩ của nó, khả năng tạo bóng mát và tính chất thẩm mỹ của tán lá rộng lớn."
